id,probability,active,name,type,difficulty,startingLvl,description,mechanicalTags,example,mechanics,choiceText,extrasText
PWR_DAZZ,1,1,DAZZLE,Offensive,2,4, Overwhelms one of the target's senses such as vision or hearing to hinder them in combat                  , REPEATED_ACTION|ATTRIBUTE_USED:COORDINATION," MULTI-PRISM's Power: BLINDING LIGHT stops her opponents with blinding flashes of light, impairing their combat abilities.","Dazzle is an attack to overwhelm one of the target’s senses; it could be blinding light, a deafening sound, a chemical spray, a gob of mud, or anything similar. Choose a sense your Dazzle affects when you acquire this power. In addition to the normal senses, you could choose to dazzle a sensory power like Danger Sense or Detection. Make a Coordination test against the Coordination of a target within extended range: • Failure or Marginal Success means no effect. • Moderate Success, the target is dazzled for one page. • Major Success, the target is dazzled for one page per power level. • Massive Success, the target is dazzled for the entire chapter. Dazzled characters have +2 difficulty with actions relying on the dazzled sense and automatically fail Awareness checks using it. Using an advantage to Recover (see Advantage in The Basics) ends the Dazzle immediately.","
This power requires you to make those choices during character creation :

Chose one of the senses such as vision or hearing as your target. Additionally you can choose special sensces such as  Danger Sence Power or Detection Power
","During character creation or later during character development you can take specific extra effect:
Broad use  :  Choose additional sense you can attack"
PWR_DENS,1,1,DENSITY,Alteration,3,3, Increase body density to sacrifice your agility and speed for great strength and damage resistance.                        , ACTION|ATTRIBUTE_USED:NONE|ATTRIBUTE_SUB:STRENGHT,BOUNCER's Power: STRONG CORE allows him to increase his density which both increases his durabulity and strenght in a fight ,"Density allows you to increase your body’s density at will. Your Strength equals your active Density level or your normal Strength +1, whichever is greater, and you gain Damage Resistance power equal to your Density level. As a limit, your Coordination equals the lower of your normal level or 10 minus your active Density level (with a minimum of 1). You can gain Phasing as an extra by decreasing your density to the point of intangibility.",,"During character creation or later during character development you can take specific extra effect:
Lower density  :  You can use this power to mimic Phasing Power which represents you lowering your density. Your strength is lowered when you use your power this way. "
PWR_DETE,1,1,DETECTION,Mental,2,4," Detect a specific thing at visual/close range - such energy, magic, electricity, evil intentions. Consult with your GM, so they can accept your choice                ", PASSIVE|ATTRIBUTE_USED:NONE|ATTRIBUTE_SUB:AWARENESS,"CURSED CRUCADER's Power:  MAGIC SCENT alows him to detect works of magic nearby by the smell, even distingushing source (such as sulfur for Infernal)","Detection is the ability to detect a specific thing—an energy, power, or presence—at visual range with Awareness equal to your Detection level. Select a type of Detection from the following list or make up one of your own: Cosmic, Emotion, Energy, Evil, Magic, Magnetic, Power, Radiation, or Spirit. You can add another thing you can detect as an extra. ",,"During character creation or later during character development you can take specific extra effect:
Broad use :  Each time you can choose additonal thing you detect"
PWR_DUPL,1,1,DUPLICATION,Alteration,5,3," Produce duplicates of yourself - copies from magical mirror, instant clones or cyborg replicas. They share your powers and skills                         ", ACTION|ATTRIBUTE_USED:NONE,"MULTI-PRISM's Power: HOLO COPY  can create hard light duplicates, each possessing her light based powers","Duplication can produce duplicates of you, up to your power level in number, so one duplicate with Duplication 1, two with Duplication 2, and so forth. It takes a page of preparation to create a duplicate. Duplicates have the same abilities as you, except they lack this power (duplicates cannot themselves create duplicates). Duplicates performing the same action together use the rules for combined effort (see Combined Effort in The Basics chapter). Duplicates do not have Determination, but you can share your Determination Points with your duplicates. A dead or unconscious duplicate disappears. If you are incapacitated, all your duplicates disappear.",,
PWR_ENRGY_CTRL_FIRE,1,1,ENERGY CONTROL: FIRE,Control,4,3,, ACTION|ATTRIBUTE_USED:WILLPOWER|MULTIPOWER,,,"
This power requires you to make those choices during character creation :

Chose one of the following powers that fits your theme : Blast, Stun, Bind or Dazzle.his is main use of your power and you use it at your elemental control level. You can use extras of this power to aquire more powers at lvl -1 of your final energy control level.

You will use Willpower instead of coordination or prowess for all of powers conected to energy control","During character creation or later during character development you can take specific extra effect:
Multipower  :  Get additonal power that fits your element  at lvl -1 of elemental control. This can be Blast, stun, Bind, Dazzle, Force Field, Flight, Telekinesis, Aura and many others. Get GM approval for you choices"
PWR_EMOT_CTRL,1,1,EMOTION CONTROL,Mental,4,4,"You can inflict specific emotion on target such as making them afraid by ghostly visions, attracted o you by pheromones etc.", ACTION|ATTRIBUTE_USED:NONE|CONCENTRATION,,,"
This power requires you to make those choices during character creation :

Chose one of the following emotions or consult GM on others: anger, fear, attraction.
","During character creation or later during character development you can take specific extra effect:
Broad range  :  Choose additonal emotion you can control"
PWR_ENRGY_CTRL_COLD,1,1,ENERGY CONTROL: COLD,Control,4,3,, ACTION|ATTRIBUTE_USED:WILLPOWER|MULTIPOWER,,,"
This power requires you to make those choices during character creation :

Chose one of the following powers that fits your theme : Blast, Stuning, Binding or Dazzle. This is main use of your power and you use it at your energy control level. You can use extras of this power to aquire more powers at lvl -1 of your final energy control level.
","During character creation or later during character development you can take specific extra effect:
Multipower  :  Get additonal power that fits your energy  at lvl -1 of energy control. This can be Blast, stun, Bind, Dazzle, Force Field, Flight, Telekinesis, Aura and many others. Get GM approval for you choices"
PWR_ENRGY_CTRL_DARK,1,1,ENERGY CONTROL: DARKNESS,Control,4,3,, ACTION|ATTRIBUTE_USED:WILLPOWER|MULTIPOWER,,,"
This power requires you to make those choices during character creation :

Chose one of the following powers that fits your theme : Blast, Stuning, Binding or Dazzle. This is main use of your power and you use it at your energy control level. You can use extras of this power to aquire more powers at lvl -1 of your final energy control level.
","During character creation or later during character development you can take specific extra effect:
Multipower  :  Get additonal power that fits your energy  at lvl -1 of energy control. This can be Blast, stun, Bind, Dazzle, Force Field, Flight, Telekinesis, Aura and many others. Get GM approval for you choices"
PWR_ENRGY_CTRL_ELEC,1,1,ENERGY CONTROL: ELECTRICAL,Control,4,3,, ACTION|ATTRIBUTE_USED:WILLPOWER|MULTIPOWER,,,"
This power requires you to make those choices during character creation :

Chose one of the following powers that fits your theme : Blast, Stuning, Binding or Dazzle. This is main use of your power and you use it at your energy control level. You can use extras of this power to aquire more powers at lvl -1 of your final energy control level.
","During character creation or later during character development you can take specific extra effect:
Multipower  :  Get additonal power that fits your energy  at lvl -1 of energy control. This can be Blast, stun, Bind, Dazzle, Force Field, Flight, Telekinesis, Aura and many others. Get GM approval for you choices"
PWR_ENRGY_CTRL_LIGH,1,1,ENERGY CONTROL: LIGHT,Control,4,3,, ACTION|ATTRIBUTE_USED:WILLPOWER|MULTIPOWER,,,"
This power requires you to make those choices during character creation :

Chose one of the following powers that fits your theme : Blast, Stuning, Binding or Dazzle. This is main use of your power and you use it at your energy control level. You can use extras of this power to aquire more powers at lvl -1 of your final energy control level.
","During character creation or later during character development you can take specific extra effect:
Multipower  :  Get additonal power that fits your energy  at lvl -1 of energy control. This can be Blast, stun, Bind, Dazzle, Force Field, Flight, Telekinesis, Aura and many others. Get GM approval for you choices"
PWR_ENRGY_CTRL_MAGN,1,1,ENERGY CONTROL: MAGNETIC,Control,4,3,, ACTION|ATTRIBUTE_USED:WILLPOWER|MULTIPOWER,,,"
This power requires you to make those choices during character creation :

Chose one of the following powers that fits your theme : Blast, Stuning, Binding or Dazzle. This is main use of your power and you use it at your energy control level. You can use extras of this power to aquire more powers at lvl -1 of your final energy control level.
","During character creation or later during character development you can take specific extra effect:
Multipower  :  Get additonal power that fits your energy  at lvl -1 of energy control. This can be Blast, stun, Bind, Dazzle, Force Field, Flight, Telekinesis, Aura and many others. Get GM approval for you choices"
PWR_ENRGY_CTRL_RADI,1,1,ENERGY CONTROL: RADIATION,Control,4,3,, ACTION|ATTRIBUTE_USED:WILLPOWER|MULTIPOWER,,,"
This power requires you to make those choices during character creation :

Chose one of the following powers that fits your theme : Blast, Stuning, Binding or Dazzle. This is main use of your power and you use it at your energy control level. You can use extras of this power to aquire more powers at lvl -1 of your final energy control level.
","During character creation or later during character development you can take specific extra effect:
Multipower  :  Get additonal power that fits your energy  at lvl -1 of energy control. This can be Blast, stun, Bind, Dazzle, Force Field, Flight, Telekinesis, Aura and many others. Get GM approval for you choices"
PWR_ENRGY_CTRL_SONI,1,1,ENERGY CONTROL: SONIC,Control,4,3,, ACTION|ATTRIBUTE_USED:WILLPOWER|MULTIPOWER,,,"
This power requires you to make those choices during character creation :

Chose one of the following powers that fits your theme : Blast, Stuning, Binding or Dazzle. This is main use of your power and you use it at your energy control level. You can use extras of this power to aquire more powers at lvl -1 of your final energy control level.
","During character creation or later during character development you can take specific extra effect:
Multipower  :  Get additonal power that fits your energy  at lvl -1 of energy control. This can be Blast, stun, Bind, Dazzle, Force Field, Flight, Telekinesis, Aura and many others. Get GM approval for you choices"
PWR_ENRGY_DRN,1,1,ENERGY DRAIN,Offensive,3,4,Sap a target's vital energy by touch - either by attacking their physical strenght or their willpower. You can recover your own stamina using this power                  , REPEATED_ACTION|ATTRIBUTE_USED:PROWESS,CURSED CRUCADES's Power:  BLADE OF DESPAIR alows him to attack morale of his foes and feed on their fear ,"Energy Drain saps a target’s vital energy by touch. Make a Prowess test to touch the target. If successful, test Energy Drain vs. Strength or Willpower (choose one when you acquire this power). The target loses Stamina equal to the outcome, while you regain Stamina equal to the outcome (if you have lost any) with a maximum outcome equal to your power level. As an extra, you can gain an amount of Stamina over your usual maximum equal to your Energy Drain level. This extra Stamina fades at a rate of 1 point per minute.","
This power requires you to make those choices during character creation :

Chose if your power attacks targer Stregnth or their Willpower
","During character creation or later during character development you can take specific extra effect:
Energy overflow :  You can temporary increase your stamina beyond your starting value using this power"
PWR_FAST,1,1,FAST ATTACK,Offensive,3,4,You can strike multiple times when normal person could do it once - maybe due to your high reflexes or multiple indeptendent methods of attack, PASSIVE|ATTRIBUTE_USED:NONE,CURSED CRUCADER's Power SWORD STORM allows him to deliver multiple cuts with his magic sword at the speed beyond mortal capabilities,"Fast Attack allows you to attack more than once per action, dividing your Fast Attack level into additional attack tests, up to your level with that attack. If you use your extra attacks against the same opponent on the same page, treat it as a combined effort (see Combined Effort in The Basics chapter).",,
PWR_FLIG,1,1,FLIGHT,Movement,3,4,"You can fly with the power of mind, antigravity, wings, jets etc.", MOVEMENT|ATTRIBUTE_USED:NONE,LUNAR NOVA's Power: SPACE SUIT allows her to fly using her special costume to convert her body radiation into propulsion. ,Flight allows you to fly through the air. See the Benchmarks Table for speeds at different levels. ,,
PWR_FORC_FIEL,1,1,FORCE FIELD,Defensive,3,4,Create force field that prevents damage reaching you, ACTION|ATTRIBUTE_USED:NONE|CONCENTRATION,MULTI-PRISM's Power: LIGHT  BARRIER can create hard light prism-like barrier around her,"Force Field surrounds you in a personal energy barrier, providing you Damage Resistance equal to its power level as long as you concentrate. Additionally, whenever an attacker must touch you for a power to take effect, you can resist the effect with your Force Field level, if it is higher than the normal opposing ability for the effect. For example, a hero with Strength 3 and Force Field 6 resists a touch range Affliction at level 6 (the Force Field) rather than level 3 (Strength).",,
PWR_GROW,1,1,GROWTH,Alteration,3,4," Increase size and strength, but become easier to hit     ", ACTION|ATTRIBUTE_USED:NONE,"TERRAMASTER's Power: GIANT FORM  allows him to increase his size by merging with earth and stone around him, growing to immense heights, becoming a towering giant with incredible strength.","Growth increases your size and strength, while also making you easier to notice and hit. While enlarged, your acquire the “Large” quality, which can be activated normally for advantage or trouble. Your Strength becomes the greater of your current Growth level or your normal Strength +1 and you gain Damage Resistance equal to your current Growth level. At levels 2–5 you have a –1 to defense and tests to hide, –2 at levels 6–8, and –3 at levels 9–10. You gain an inverse bonus (+1 at levels 2–5, +2 at levels 6–8, and +3 at levels 9–10) for Willpower maneuver tests to intimidate smaller opponents (see Maneuvers in Taking Action).",,
PWR_HEAL,1,1,HEALING,Control,3,4, Restore physical damage of your allies                  , REPEATED_ACTION|ATTRIBUTE_USED:NONE,TERRAMASTER's Power: HEALING STONE allows him to use his control over energy of earth to restore health and vitality of others.,"Healing can restore Stamina lost to physical damage. Touch your subject and take an action to restore your power level in Stamina. Healing cannot increase a subject’s Stamina over its normal level. You can restore up to twice your power level in Stamina to any given subject in an issue. More than this in the same issue requires determined effort for each additional power level in Stamina you heal for that subject. Example: Aquarius uses Healing 5 to treat Lugh, who has taken a beating. The Celtic champion is down to 2 Stamina (from his usual 12). Aquarius can completely heal him with two uses of his power, but any further healing performed on Lugh this issue will require determined effort from Aquarius for each 5 Stamina he heals. Healing can also restore lost Strength. Make a difficulty 2 Healing test to restore a Strength level. If the test fails, you restore the Strength, but lose a level of Strength yourself! You must recover this normally through rest. If your Healing level is 7 or greater, you don’t have to test (you automatically succeed). You can also acquire an extra that eliminates this test, regardless of Healing level.",,
PWR_IMMO,1,1,IMMORTALITY,Defensive,2,3," Do not age and with time recover even from death, with some limitations.                   ", PASSIVE|ATTRIBUTE_USED:NONE,MULTI-PRISM's Power: IMMORTAL LIGHT makes her both ageless and unable to die. She reforms from photons after several days. However if she ever dies in total darkness she will be gone forever ,"Immortality means you do not age and cannot die. You still suffer damage, but can recover from dying. You can roll in after hour, after 10 hours, after 24 hours after week, after month, after year and then each year to fully recover. The difficulty deptends on the way you died. Your body regenerates lost parts as well so, short of atomizing you or exposing you to a constant source of damage (in a volcano or the heart of a star, for example), you’ll always come back eventually. Any time you are reduced to Strength 0 and “die,” your Determination Points go to 0 (although you can accumulate and renew your DP normally). You must choose and GM must accept the way to really kill you. ","
This power requires you to make those choices during character creation :

Chose how you can be killed and get acceptence from GM
",
PWR_INTE,1,1,INTERFACE,Mental,1,5, Interface with and access computers at visual range; works like Telepathy against intelligent computer systems. , REPEATED_ACTION|ATTRIBUTE_USED:NONE,CENTURION's Power: CYBER CONNECTION allows him to access computer system effortlessly as long as they are near enough. ,"Interface lets you interface with and access information from computers at visual range. Use the higher of your Interface or Intellect levels (including appropriate specialties) when operating computers. Against intelligent computer systems, including self-aware robots, this power works like Telepathy.",,
PWR_INVIS,1,1,INVISIBILITY,Alteration,2,4," Render yourself unseen, but not completely undetectable. Sound, scent, rain, special senses can detect you. ", ACTION|ATTRIBUTE_USED:NONE,CENTURION's Power: DIGITAL CAMMO  allows him to turn on stealh system to become invisible to naked eye,"Invisibility makes you, along with anything you are wearing or carrying, unable to be seen. Sound, scent, heavy rain, and similar methods can still give away your presence and location. When something might detect you, use your Invisibility level for the test to avoid notice. As long as your location remains unknown, opponents cannot target you with direct attacks (since they do not know where to aim). Indirect attacks like Bursts affect you normally. Even if your location is given away, attacks against you have +2 difficulty.",,
PWR_LEAP,1,1,LEAPING,Movement,1,5, Jump incredible distances        , MOVEMENT|ATTRIBUTE_USED:NONE,THE BOUNCER's Power: SUPER BOUNCE propels him across vast distances in a single bound.,"Leaping lets you jump across great distances, from about a city block at Leaping 1 to miles at Leaping 10! Leaping 1–2 covers distance level 3 on the Benchmarks Table and every two additional Leaping levels increases the distance by a level. For example, Leaping 5 lets you cover about ten city blocks (or a tall building) with a single bound!",,
PWR_LIFE_SUPP,1,1,LIFE SUPPORT,Defensive,2,4," Ignore physical needs and hazardous environments such as lack of air, radiation, hunger, high temperatures etc.                                 ", PASSIVE|ATTRIBUTE_USED:NONE,"CENTURION's Power: COMFORT ZONE in the form of nanobot armor allows him to ignore negative effects of toxins, disease and even resist radiation","Life Support lets you ignore physical needs and hazardous environments, including breathing, cold, disease, eating, heat, pressure, radiation, sleeping, toxins, and vacuum. Choose one need or environment you ignore per level.","
This power requires you to make those choices during character creation :

Chose one of the following enviorment hazards per level of the power. Consult GM for more options :  cold, disease, eating, heat, pressure, radiation, sleeping, toxins, and vacuum
",
PWR_MENT_BLAS,1,1,MENTAL BLAST,Mental,2,5,"Strike living thinking beings with blasts of mental energy using only your willpower. This can be telepathic wave, magical nightmare made manifest. ", REPEATED_ACTION|ATTRIBUTE_USED:NONE,SENTINEL's Power: MENTAL OVERLOAD  alows him to see to shoot ray that stunts minds of living beings,"Mental Blast can strike other minds in visual range with blasts of mental “force.” Make a Willpower versus Willpower test for the attack and use your power level for the damage, ignoring Damage Resistance, but not Mental Resistance. When you acquire this power, choose if your mental blast is a blasting or shooting attack; if it is blasting, it can achieve no more than a moderate success on a slam (knocking the target down). As an extra, you can choose between a blasting and shooting attack each time you use your Mental Blast, rather than just once when you acquire the power.","
This power requires you to make those choices during character creation :

Chose one of the following version of blast power:
-Blasting - distributed attack, less lethal
-Shooting - focused attack, more lethal","During character creation or later during character development you can take specific extra effect:
Broad use :  Each time you can choose either Blasting or Schooting version of your power"
